�;M86.8;9825
10016127;Грыжа передней брюшной стенки с гангреной;K43.7;16137
10016128;Грыжа передней брюшной стенки с гангреной и непроходимостью;K43.7;16138
10016129;Грыжа передней брюшной стенки с непроходимостью;K43.6;16139
10016130;Грыжа пищеводного отверстия диафрагмы;K44.9;16140
10016131;Грыжа пищеводного отверстия диафрагмы врожденная;Q40.1;16141
10016132;Грыжа послеоперационная;K43.2;16142
10016133;Грыжа послеоперационная с гангреной;K43.1;16143
10016134;Грыжа послеоперационная с гангреной и непроходимостью;K43.1;16144
10016135;Грыжа послеоперационная с непроходимостью;K43.0;16145
10016136;Грыжа предпузырная;N32.8;16146
10016137;Грыжа приобретенная;K46.9;16147
10016138;Грыжа пупочная;K42.9;16148
10016139;Грыжа пупочная гангренозная;K42.1;16149
10016140;Грыжа пупочная гангренозная с непроходимостью;K42.1;16150
10016141;Грыжа пупочная с непроходимостью;K42.0;16151
10016142;Грыжа пупочного канатика;K42.9;16152
10016143;Грыжа радужной оболочки;S05.2;16153
10016144;Грыжа радужной оболочки травматическая;S05.2;16154
10016145;Грыжа ректовагинальная;N81.6;16155
10016146;Грыжа ресничного тела;S05.2;16156
10016147;Грыжа ресничного тела травматическая;S05.2;16157
10016148;Грыжа рецидивирующая;K46.9;16158
10016149;Грыжа с непроходимостью;K46.0;16159
10016150;Грыжа скользящая;K40.9;16160
10016151;Грыжа скользящая паховая;K40.9;16161
10016152;Грыжа спинальная;Q05.9;16162
10016153;Грыжа спинальная с гидроцефалией;Q05.4;16163
10016154;Грыжа средостения;J98.5;16164
10016155;Грыжа ствола головного мозга;G93.5;16165
10016156;Грыжа стекловидного тела;S05.2;16166
10016157;Грыжа стекловидного тела в переднюю камеру;H43.0;16167
10016158;Грыжа стекловидного тела в рану;S05.2;16168
10016159;Грыжа странгуляционная;K46.0;16169
10016160;Грыжа странгуляционная гангренозная;K46.1;16170
10016161;Грыжа сухожилия;M67.8;16171
10016162;Грыжа уретры врожденная;Q64.7;16172
10016163;Грыжа ущемленная;K46.0;16173
10016164;Грыжа фасции;M62.8;16174
10016165;Грыжа хрусталика;S05.2;16175
10016166;Грыжа хрусталика травматическая;S05.2;16176
10016167;Грыжа церебральная;G93.5;16177
10016168;Грыжа церебральная врожденная;Q01.9;16178
10016169;Грыжа церебральная врожденная внутриушная;Q01.8;16179
10016170;Грыжа яичника;N83.4;16180
10016171;Грыжа яйцевода;N83.4;16181
10016172;Грюби болезнь;B35.0;16182
10016173;Губка, случайно оставленная во время операции в ране;T81.5;16183
10016174;Губно-язычный паралич;G12.2;16184
10016175;Губчатая почка;Q61.5;16185
10016176;Губчатая почка медуллярная;Q61.5;16186
10016177;Гудалла болезнь;A08.1;16187
10016178;Гудпасчера синдром;M31.0;16188
10016179;Гужеро-Карто болезнь;L83;16189
10016180;Гужеро-Карто синдром;L83;16190
10016181;Гумма;A52.7;16191
10016182;Гумма артерии;A52.0;16192
10016183;Гумма артерии церебральной;A52.0;16193
10016184;Гумма века;A52.7;16194
10016185;Гумма врожденная;A50.5;16195
10016186;Гумма гипофиза;A52.7;16196
10016187;Гумма глазницы;A52.7;16197
10016188;Гумма глотки;A52.7;16198
10016189;Гумма гортани;A52.7;16199
10016190;Гумма кожи;A52.7;16200
10016191;Гумма кости;A52.7;16201
10016192;Гумма кости при фрамбезии;A66.6;16202
10016193;Гумма кости при фрамбезии поздней;A66.6;16203
10016194;Гумма миндалины;A52.7;16204
10016195;Гумма миокарда;A52.0;16205
10016196;Гумма мочеточника;A52.7;16206
10016197;Гумма неба;A52.7;16207
10016198;Гумма неба мягкого;A52.7;16208
10016199;Гумма нейросифилитическая;A52.3;16209
10016200;Гумма носа;A52.7;16210
10016201;Гумма носоглотки;A52.7;16211
10016202;Гумма перикарда;A52.0;16212
10016203;Гумма печени;A52.7;16213
10016204;Гумма полового члена;A52.7;16214
10016205;Гумма почки;A52.7;16215
10016206;Гумма радужной оболочки;A52.7;16216
10016207;Гумма сердца;A52.0;16217
10016208;Гумма сифилитическая;A52.7;16218
10016209;Гумма скрофулезная;A18.4;16219
10016210;Гумма трахеи;A52.7;16220
10016211;Гумма туберкулезная;A18.4;16221
10016212;Гумма уточненной локализации;A52.7;16222
10016213;Гумма фрамбезийная;A66.4;16223
10016214;Гумма фрамбезийная кости;A66.6;16224
10016215;Гумма центральной нервной системы;A52.3;16225
10016216;Гумма цилиарного тела;A52.7;16226
10016217;Гумма язвенная, вызванная фрамбезией;A66.4;16227
10016218;Гумма языка;A52.7;16228
10016219;Гуммозный фрамбезид;A66.4;16229
10016220;Гунду;A66.6;16230
10016221;Гунна синдром;Q07.8;16231
10016222;Гуннера язва;N30.1;16232
10016223;Гунтера глоссит;D51.0;16233
10016224;Гунтера синдром;E76.1;16234
10016225;Гурлера болезнь;E76.0;16235
10016226;Гурлера синдром;E76.0;16236
10016227;Гурлера -Шейе болезнь;E76.0;16237
10016228;Гурлера -Шейе синдром;E76.0;16238
10016229;Гюблера-Мийяра паралич;I67.9;16239
10016230;Гюртле клеток аденокарцинома;C73;16240
10016231;Гюртле клеток аденома;D34;16241
10016232;Гюртле клеток карцинома;C73;16242
10016233;Гюртле клеток опухоль;D34;16243
10016234;Да Косты синдром;F45.3;16244
10016235;Давление венозное повышенное;I87.8;16245
10016236;Давление гипосистолическое;I95.9;16246
10016237;Давление гипосистолическое, выявленное при случайном измерении, без диагноза гипотензии;R03.1;16247
10016238;Давление повышенное внутриглазное;H40.0;16248
10016239;Давление повышенное внутричерепное;G93.2;16249
10016240;Давление повышенное внутричерепное доброкачественное;G93.2;16250
10016241;Давление повышенное внутричерепное, вызванное родовой травмой;P11.0;16251
10016242;Давление, вызвавшее некроз;L89.2;16252
10016243;Давление, вызвавшее некроз кожи;L89.2;16253
10016244;Давление, вызвавшее некроз хронический;L89.2;16254
10016245;Давление, вызвавшее некроз, стадия III;L89.2;16255
10016246;Давление, вызвавшее некроз, стадия IV;L89.3;16256
10016247;Давление, вызвавшее повреждение, стадия II;L89.1;16257
10016248;Давление, вызвавшее повреждение, стадия III;L89.2;16258
10016249;Давление, вызвавшее повреждение, стадия IV;L89.3;16259
10016250;Давление, вызвавшее язву кожи неуточненную;L89.9;16260
10016251;Давление, вызвавшее язву кожи, стадия I;L89.0;16261
10016252;Давление, вызвавшее язву кожи, стадия II;L89.1;16262
10016253;Давление, вызвавшее язву кожи, стадия III;L89.2;16263
10016254;Давление, вызвавшее язву кожи, стадия IV;L89.3;16264
10016255;Давление, вызвавшее язву неуточненную;L89.9;16265
10016256;Давление, вызвавшее язву области кожи, стадия I;L89.0;16266
10016257;Давление, вызвавшее язву области кожи, стадия II;L89.1;16267
10016258;Давление, вызвавшее язву области кожи, стадия III;L89.2;16268
10016259;Давление, вызвавшее язву области кожи, стадия IV;L89.3;16269
10016260;Давление, вызвавшее язву хроническую неуточненую;L89.9;16270
10016261;Давление, вызвавшее язву хроническую, стадии I;L89.0;16271
10016262;Давление, вызвавшее язву хроническую, стадии II;L89.1;16272
10016263;Давление, вызвавшее язву хроническую, стадии III;L89.2;16273
10016264;Давление, вызвавшее язву хроническую, стадии IV;L89.3;16274
10016265;Давление, вызвавшее язву, стадия I;L89.0;16275
10016266;Давление, вызвавшее язву, стадия II;L89.1;16276
10016267;Давление, вызвавшее язву, стадия III;L89.2;16277
10016268;Давление, вызвавшее язву, стадия IV;L89.3;16278
10016269;Дайка-Янга анемия;D59.8;16279
10016270;Дайка-Янга анемия вторичная;D59.8;16280
10016271;Дайка-Янга анемия симптоматическая;D59.8;16281
10016272;Дакриоаденит;H04.0;16282
10016273;Дакриоаденит острый;H04.0;16283
10016274;Дакриоаденит хронический;H04.0;16284
10016275;Дакриолит;H04.5;16285
10016276;Дакриолитиаз;H04.5;16286
10016277;Дакриома;H04.6;16287
10016278;Дакриоперицистит;H04.3;16288
10016279;Дакриоперицистит острый;H04.3;16289
10016280;Дакриоперицистит подострый;H04.3;16290
10016281;Дакриоперицистит хронический;H04.4;16291
10016282;Дакриопс;H04.1;16292
10016283;Дакриостеноз;H04.5;16293
10016284;Дакриостеноз врожденный;Q10.5;16294
10016285;Дакриоцистит;H04.3;16295
10016286;Дакриоцистит неонатальный;P39.1;16296
10016287;Дакриоцистит острый;H04.3;16297
10016288;Дакриоцистит сифилитический;A52.7;16298
10016289;Дакриоцистит сифилитический врожденный;A50.0;16299
10016290;Дакриоцистит сифилитический ранний;A50.0;16300
10016291;Дакриоцистит трахоматозный активный;A71.1;16301
10016292;Дакриоцистит флегмонозный;H04.3;16302
10016293;Дакриоцистит хронический;H04.4;16303
10016294;Дакриоцистобленнорея;H04.4;16304
10016295;Дакриоцистоцеле;H04.6;16305
10016296;Дактилит;L08.9;16306
10016297;Дактилит кости;M86.9;16307
10016298;Дактилит сифилитический;A52.7;16308
10016299;Дактилит туберкулезный;A18.0;16309
10016300;Дактилолиз спонтанный;L94.6;16310
10016301;Дактилолиз спонтанный аньюм;L94.6;16311
10016302;Дактилосимфиз;Q70.9;16312
10016303;Дактилосимфиз пальцев кисти;Q70.0;16313
10016304;Дактилосимфиз пальцев стоп;Q70.2;16314
10016305;Данлос синдром;Q79.6;16315
10016306;Дарвина бугорок;Q17.8;16316
10016307;Дарлинга болезнь;B39.4;16317
10016308;Дарлинга гистоплазмоз;B39.4;16318
10016309;Дарье болезнь;Q82.8;16319
10016310;Дарье болезнь врожденная;Q82.8;16320
10016311;Дарье -Уейта болезнь;Q82.8;16321
10016312;Дарье -Уейта болезнь врожденная;Q82.8;16322
10016313;Дарье-Руси саркоид;D86.3;16323
10016314;Дата синдром;F48.8;16324
10016315;Даттона возвратная лихорадка;A68.1;16325
10016316;Даттона возвратная лихорадка западноафриканская;A68.1;16326
10016317;Дауна болезнь;Q90.9;16327
10016318;Дауна синдром;Q90.9;16328
10016319;Двигательные нарушения мочевого пузыря;N31.2;16329
10016320;Движения дистонические;R25.8;16330
10016321;Двойная верхушка сердца;Q24.8;16331
10016322;Двойная матка;Q51.2;16332
10016323;Двойная матка как причина осложнения родов;O65.5;16333
10016324;Двойная матка при беременности;O34.0;16334
10016325;Двойная матка при родах;O34.0;16335
10016326;Двойная мошонка;Q55.2;16336
10016327;Двойная навязчивая идея;F24;16337
10016328;Двойная почка;Q63.8;16338
10016329;Двойной клитор;Q52.6;16339
10016330;Двойной монстр;Q89.4;16340
10016331;Двойной мочеточник;Q62.8;16341
10016332;Двойной надколенник;Q74.1;16342
10016333;Двойной наружный маточный зев;Q51.8;16343
10016334;Двойной нос;Q30.2;16344
10016335;Двойной палец стопы;Q74.2;16345
10016336;Двойной язык;Q38.3;16346
10016337;Двойной язычок;Q35.7;16347
10016338;Двойня;P01.5;16348
10016339;Двойня беременность;P01.5;16349
10016340;Двойня новорожденный;P01.5;16350
10016341;Двойня плод;P01.5;16351
10016342;Двойня сросшаяся;Q89.4;16352
10016343;Двойня, осложняющая беременность;O30.0;16353
10016344;Двурогая матка;Q51.3;16354
10016345;Двурогая матка при беременности;O34.0;16355
10016346;Двурогая матка при беременности, влияние на новорожденного;P03.8;16356
10016347;Двурогая матка при беременности, влияние на плод;P03.8;16357
10016348;Двурогая матка при родах;O34.0;16358
10016349;Двурогая матка при родах, влияние на новорожденного;P03.8;16359
10016350;Двурогая матка при родах, влияние на плод;P03.8;16360
10016351;Двурогая матка, вызывающая затрудненные роды;O65.5;16361
10016352;Двустворчатый аортальный клапан;Q23.1;16362
10081597;Двусторонняя вирусная пневмония, вызванная SARS-CoV-2;J12.8;16363
10081596;Двусторонняя полисегментарная вирусная пневмония;J12.8;16364
10016353;Двуустая матка;Q51.3;16365
10016354;Двуустая матка (suprasimplex);Q51.3;16366
10016355;Двухкамерный желудок;K31.2;16367
10016356;Де Берманна болезнь;B42.1;16368
10016357;Де Берманна -Гужеро болезнь;B42.1;16369
10016358;Де Кервена болезнь;M65.4;16370
10016359;Де Кервена тиреоидит;E06.1;16371
10016360;Де ла Туретта синдром;F95.2;16372
10016361;Де Ланге синдром;Q87.1;16373
10016362;Де Моргана пятна;I78.1;16374
10016363;Де Тони-Фанкони -Дебре синдром;E72.0;16375
10016364;Де Тони-Фанкони синдром;E72.0;16376
10016365;Девержи болезнь;L44.0;16377
10016366;Девиация половая;F65.9;16378
10016367;Девика болезнь;G36.0;16379
10016368;Дегенеративные изменения позвонка;M47.9;16380
10016369;Дегенеративные изменения позвоночника;M47.9;16381
10016370;Дегенерация автономной нервной системы;G90.9;16382
10016371;Дегенерация амилоидная;E85.9;16383
10016372;Дегенерация аортальная;I70.0;16384
10016373;Дегенерация аортальная жировая;I77.8;16385
10016374;Дегенерация аортального клапана;I35.8;16386
10016375;Дегенерация аортального клапана сердца;I35.8;16387
10016376;Дегенерация аорты;I70.0;16388
10016377;Дегенерация аорты жировая;I77.8;16389
10016378;Дегенерация артериальная;I70.9;16390
10016379;Дегенерация артериальная атероматозная;I70.9;16391
10016380;Дегенерация артериальная известковая;I70.9;16392
10016381;Дегенерация артерии;I70.9;16393
10016382;Дегенерация артерии атероматозная;I70.9;16394
10016383;Дегенерация артерии известковая;I70.9;16395
10016384;Дегенерация базальных ядер;G23.9;16396
10016385;Дегенерация базальных ядер уточненная;G23.8;16397
10016386;Дегенерация вегетативной нервной системы;G90.9;16398
10016387;Дегенерация вилочковой железы;E32.8;16399
10016388;Дегенерация вилочковой железы жировая;E32.8;16400
10016389;Дегенерация Вильсона;E83.0;16401
10016390;Дегенерация Вильсона гепатолентикулярная;E83.0;16402
10016391;Дегенерация ганглиев;G23.9;16403
10016392;Дегенерация ганглиев уточненная;G23.8;16404
10016393;Дегенерация гепатолентикулярная;E83.0;16405
10016394;Дегенерация гепаторенальная;K76.7;16406
10016395;Дегенерация гипофиза;E23.6;16407
10016396;Дегенерация глаза макулярная;H35.3;16408
10016397;Дегенерация глаза макулярная врожденная;H35.5;16409
10016398;Дегенерация глаза макулярная заднего полюса глаза;H35.3;16410
10016399;Дегенерация глаза макулярная наследственная;H35.5;16411
10016400;Дегенерация головного мозга;G31.9;16412
10016401;Дегенерация головного мозга алкогольная;G31.2;16413
10016402;Дегенерация головного мозга атеросклеротическая;I67.2;16414
10016403;Дегенерация головного мозга детского возраста;G31.9;16415
10016404;Дегенерация головного мозга детского возраста уточненная;G31.8;16416
10016405;Дегенерация головного мозга кистозная;G31.8;16417
10016406;Дегенерация головного мозга кистозная врожденная;Q04.6;16418
10016407;Дегенерация головного мозга корковая;G31.9;16419
10016408;Дегенерация головного мозга при алкоголизме;G31.2;16420
10016409;Дегенерация головного мозга при Бери-бери;E51.1;16421
10016410;Дегенерация головного мозга при болезни Гоше;E75.2;16422
10016411;Дегенерация головного мозга при болезни Ниманна-Пика;E75.2;16423
10016412;Дегенерация головного мозга при болезни Фабри-Андерсона;E75.2;16424
10016413;Дегенерация головного мозга при врожденной гидроцефалии;Q03.9;16425
10016414;Дегенерация головного мозга при дефиците витамина В12;E53.8;16426
10016415;Дегенерация головного мозга при липидозе генерализованном;E75.6;16427
10016416;Дегенерация головного мозга при липидозе церебральном;E75.4;16428
10016417;Дегенерация головного мозга при микседеме;E03.9;16429
10016418;Дегенерация головного мозга при мукополисахаридозе;E76.3;16430
10016419;Дегенерация головного мозга при новообразовании;D48.9;16431
10016420;Дегенерация головного мозга при синдроме Гунтера;E76.1;16432
10016421;Дегенерация головного мозга при сфинголипидозе;E75.3;16433
10016422;Дегенерация головного мозга при цереброваскулярной болезни;I67.9;16434
10016423;Дегенерация головного мозга прогрессирующая;G31.9;16435
10016424;Дегенерация желудка;K31.8;16436
10016425;Дегенерация жировая печени;K76.0;16437
10016426;Дегенерация жировая печени алкогольная;K70.0;16438
10016427;Дегенерация заднего полюса сетчатки;H35.3;16439
10016428;Дегенерация зрачкового края;H21.2;16440
10016429;Дегенерация зубной пульпы;K04.2;16441
10016430;Дегенерация известковая;R89.7;16442
10016431;Дегенерация капилляров;I78.8;16443
10016432;Дегенерация капилляров амилоидная;E85.8;16444
10016433;Дегенерация капилляров жировая;I78.8;16445
10016434;Дегенерация капсулы надпочечника;E27.8;16446
10016435;Дегенерация кишечника амилоидная;E85.4;16447
10016436;Дегенерация клапана легочной артерии;I37.8;16448
10016437;Дегенерация клапана легочной артерии сердца;I37.8;16449
10016438;Дегенерация кожи;L98.8;16450
10016439;Дегенерация кожи амилоидная;E85.4;16451
10016440;Дегенерация кожи коллоидная;L98.8;16452
10016441;Дегенерация коленного суставного хряща;M23.3;16453
10016442;Дегенерация комбинированная;E53.8;16454
10016443;Дегенерация комбинированная вследствие алиментарной В12 -дефицитной анемии;D51.3;16455
10016444;Дегенерация комбинированная вследствие В12 -дефицитной анемии;D51.3;16456
10016445;Дегенерация комбинированная подострая;E53.8;16457
10016446;Дегенерация комбинированная с анемией;D51.0;16458
10016447;Дегенерация комбинированная с анемией пернициозной;D51.0;16459
10016448;Дегенерация комбинированная спинного мозга;E53.8;16460
10016449;Дегенерация комбинированная, вследствие дефицита витамина B12;E53.8;16461
10016450;Дегенерация комбинированная, вследствие дефицита витамина B12 с анемией;D51.9;16462
10016451;Дегенерация конъюнктивы;H11.1;16463
10016452;Дегенерация корковая;G31.8;16464
10016453;Дегенерация корковая алкогольная;G31.2;16465
10016454;Дегенерация корковая диффузная, вследствие артериопатии;I67.2;16466
10016455;Дегенерация корковая мозжечковая;G31.8;16467
10016456;Дегенерация корковая паренхиматозная;G31.8;16468
10016457;Дегенерация кортико-стриарно-спинальная;G31.8;16469
10016458;Дегенерация кости;M89.8;16470
10016459;Дегенерация костного лабиринта;H83.8;16471
10016460;Дегенерация кохлеарная;H83.8;16472
10016461;Дегенерация Кунта-Юниуса;H35.3;16473
10016462;Дегенерация легкого;J98.4;16474
10016463;Дегенерация лентикулярная;E83.0;16475
10016464;Дегенерация лентикулярная Вильсона;E83.0;16476
10016465;Дегенерация лентикулярная прогрессирующая;E83.0;16477
10016466;Дегенерация лентикулярная с циррозом печени;E83.0;16478
10016467;Дегенерация лентикулярная семейная;E83.0;16479
10016468;Дегенерация лимфатического узла;I89.8;16480
10016469;Дегенерация лимфатического узла гиалиновая;I89.8;16481
10016470;Дегенерация макулы;H35.3;16482
10016471;Дегенерация макулы атрофическая;H35.3;16483
10016472;Дегенерация макулы врожденная;H35.5;16484
10016473;Дегенерация макулы наследственная;H35.5;16485
10016474;Дегенерация макулы приобретенная;H35.3;16486
10016475;Дегенерация макулы сетчатки;H35.3;16487
10016476;Дегенерация макулы сетчатки кистозная;H35.3;16488
10016477;Дегенерация макулы сетчатки наследственная;H35.5;16489
10016478;Дегенерация макулы сетчатки неэкссудативная;H35.3;16490
10016479;Дегенерация макулы сетчатки с ложным отверстием;H35.3;16491
10016480;Дегенерация макулы сетчатки с отверстием;H35.3;16492
10016481;Дегенерация макулы сетчатки старческая;H35.3;16493
10016482;Дегенерация макулы сетчатки токсическая;H35.3;16494
10016483;Дегенерация макулы сетчатки экссудативная;H35.3;16495
10016484;Дегенерация макулы старческая;H35.3;16496
10016485;Дегенерация макулы экссудативная;H35.3;16497
10016486;Дегенерация макулярная;H35.3;16498
10016487;Дегенерация макулярная атрофическая;H35.3;16499
10016488;Дегенерация макулярная врожденная;H35.5;16500
10016489;Дегенерация макулярная наследственная;H35.5;16501
10016490;Дегенерация макулярная приобретенная;H35.3;16502
10016491;Дегенерация макулярная старческая;H35.3;16503
10016492;Дегенерация макулярная экссудативная;H35.3;16504
10016493;Дегенерация матки;N85.8;16505
10016494;Дегенерация матки кистозная;N85.8;16506
10016495;Дегенерация медиальной артерии;I70.2;16507
10016496;Дегенерация межпозвоночного диска;M51.3;16508
10016497;Дегенерация межпозвоночного диска грудного;M51.3;16509
10016498;Дегенерация межпозвоночного диска грудного с ишиалгией;M51.1;16510
10016499;Дегенерация межпозвоночного диска грудного с миелопатией;M51.0;16511
10016500;Дегенерация межпозвоночного диска грудного с невритом;M51.1;16512
10016501;Дегенерация межпозвоночного диска грудного с радикулитом;M51.1;16513
10016502;Дегенерация межпозвоночного диска грудного с радикулопатией;M51.1;16514
10016503;Дегенерация межпозвоночного диска поясничного;M51.3;16515
10016504;Дегенерация межпозвоночного диска поясничного с ишиалгией;M51.1;16516
10016505;Дегенерация межпозвоночного диска поясничного с миелопатией;M51.0;16517
10016506;Дегенерация межпозвоночного диска поясничного с невритом;M51.1;16518
10016507;Дегенерация межпозвоночного диска поясничного с радикулитом;M51.1;16519
10016508;Дегенерация межпозвоночного диска поясничного с радикулопатией;M51.1;16520
10016509;Дегенерация межпозвоночного диска пояснично-грудного;M51.3;16521
10016510;Дегенерация межпозвоночного диска пояснично-грудного с ишиалгией;M51.1;16522
10016511;Дегенерация межпозвоночного диска пояснично-грудного с миелопатией;M51.0;16523
10016512;Дегенерация межпозвоночного диска пояснично-грудного с невритом;M51.1;16524
10016513;Дегенерация межпозвоночного диска пояснично-грудного с радикулитом;M51.1;16525
10016514;Дегенерация межпозвоночного диска пояснично-грудного с радикулопатией;M51.1;16526
10016515;Дегенерация межпозвоночного диска пояснично-крестцового;M51.3;16527
10016516;Дегенерация межпозвоночного диска пояснично-крестцового с ишиалгией;M51.1;16528
10016517;Дегенерация межпозвоночного диска пояснично-крестцового с миелопатией;M51.0;16529
10016518;Дегенерация межпозвоночного диска пояснично-крестцового с невритом;M51.1;16530
10016519;Дегенерация межпозвоночного диска пояснично-крестцового с радикулитом;M51.1;16531
10016520;Дегенерация межпозвоночного диска пояснично-крестцового с радикулопатией;M51.1;16532
10016521;Дегенерация межпозвоночного диска с миелопатией;M51.0;16533
10016522;Дегенерация межпозвоночного диска с радикулитом;M51.1;16534
10016523;Дегенерация межпозвоночного диска с радикулопатией;M51.1;16535
10016524;Дегенерация межпозвоночного диска шейного;M50.3;16536
10016525;Дегенерация межпозвоночного диска шейного с миелопатией;M50.0;16537
10016526;Дегенерация межпозвоночного диска шейного с невритом;M50.1;16538
10016527;Дегенерация межпозвоночного диска шейного с радикулитом;M50.1;16539
10016528;Дегенерация межпозвоночного диска шейного с радикулопатией;M50.1;16540
10016529;Дегенерация межпозвоночного диска шейно-грудного;M50.3;16541
10016530;Дегенерация межпозвоночного диска шейно-грудного с миелопатией;M50.0;16542
10016531;Дегенерация межпозвоночного диска шейно-грудного с невритом;M50.1;16543
10016532;Дегенерация межпозвоночного диска шейно-грудного с радикулитом;M50.1;16544
10016533;Дегенерация межпозвоночного диска шейно-грудного с радикулопатией;M50.1;16545
10016534;Дегенерация мембраны Бруха;H31.1;16546
10016535;Дегенерация мениска;M23.3;16547
10016536;Дегенерация Менкеберга;I70.2;16548
10016537;Дегенерация мешочка ушного лабиринта врожденная;Q16.5;16549
10016538;Дегенерация мешочка ушного лабиринта врожденная, вызывающая нарушение слуха;Q16.5;16550
10016539;Дегенерация миелиновая центральной нервной системы;G37.9;16551
10016540;Дегенерация миокарда;I51.5;16552
10016541;Дегенерация миокарда гиалиновая;I51.5;16553
10016542;Дегенерация миокарда гипертензивная;I11.9;16554
10016543;Дегенерация миокарда жировая;I51.5;16555
10016544;Дегенерация миокарда при ревматической лихорадке активной;I01.2;16556
10016545;Дегенерация миокарда при ревматической лихорадке активной с хореей;I02.0;16557
10016546;Дегенерация миокарда при ревматической лихорадке в стадии покоя;I09.0;16558
10016547;Дегенерация миокарда при ревматической лихорадке неактивной;I09.0;16559
10016548;Дегенерация миокарда при ревматической лихорадке острой;I01.2;16560
10016549;Дегенерация миокарда при ревматической лихорадке острой с хореей;I02.0;16561
10016550;Дегенерация миокарда при ревматической лихорадке подострой;I01.2;16562
10016551;Дегенерация миокарда при ревматической лихорадке подострой с хореей;I02.0;16563
10016552;Дегенерация миокарда сифилитическая;A52.0;16564
10016553;Дегенерация миокарда старческая;I51.5;16565
10016554;Дегенерация миокардиальная;I51.5;16566
10016555;Дегенерация миокардиальная гиалиновая;I51.5;16567
10016556;Дегенерация миокардиальная гипертензивная;I11.9;16568
10016557;Дегенерация миокардиальная жировая;I51.5;16569
10016558;Дегенерация миокардиальная при ревматической лихорадке активной;I01.2;16570
10016559;Дегенерация миокардиальная при ревматической лихорадке активной с хореей;I02.0;16571
10016560;Дегенерация миокардиальная при ревматической лихорадке в стадии покоя;I09.0;16572
10016561;Дегенерация миокардиальная при ревматической лихорадке неактивной;I09.0;16573
10016562;Дегенерация миокардиальная при ревматической лихорадке острой;I01.2;16574
10016563;Дегенерация миокардиальная при ревматической лихорадке острой с хореей;I02.0;16575
10016564;Дегенерация миокардиальная при ревматической лихорадке подострой;I01.2;16576
10016565;Дегенерация миокардиальная при ревматической лихорадке подострой с хореей;I02.0;16577
10016566;Дегенерация миокардиальная сифилитическая;A52.0;16578
10016567;Дегенерация миокардиальная старческая;I51.5;16579
10016568;Дегенерация мозжечковая;G31.9;16580
10016569;Дегенерация мозжечковая алкогольная;G31.2;16581
10016570;Дегенерация мозжечковая наследственная;G11.9;16582
10016571;Дегенерация мозжечковая первичная;G11.9;16583
10016572;Дегенерация мозжечковая спорадическая;G11.9;16584
10016573;Дегенерация молочной железы;N64.8;16585
10016574;Дегенерация мультисистемная;G23.3;16586
10016575;Дегенерация мультисистемная мозжечковый тип;G23.3;16587
10016576;Дегенерация мультисистемная паркинсонический тип;G23.2;16588
10016577;Дегенерация мышцы;M62.8;16589
10016578;Дегенерация мышцы гиалиновая;M62.8;16590
10016579;Дегенерация мышцы жировая;M62.8;16591
10016580;Дегенерация мышцы прогрессирующая;M62.8;16592
10016581;Дегенерация мышцы сердца;I51.5;16593
10016582;Дегенерация мышцы фиброзная;M62.8;16594
10016583;Дегенерация надпочечника;E27.8;16595
10016584;Дегенерация надпочечника гиалиновая;E27.8;16596
10016585;Дегенерация надпочечника инфекционная;E27.8;16597
10016586;Дегенерация нервной системы;G31.9;16598
10016587;Дегенерация нервной системы алкогольная;G31.2;16599
10016588;Дегенерация нервной системы амилоидная;E85.4;16600
10016589;Дегенерация нервной системы жировая;G31.8;16601
10016590;Дегенерация нервной системы уточненная;G31.8;16602
10016591;Дегенерация носовой раковины;J34.8;16603
10016592;Дегенерация оболочки надпочечника;E27.8;16604
10016593;Дегенерация оливопонтоцеребеллярная;G23.3;16605
10016594;Дегенерация оливо-понто-церебеллярная;G23.8;16606
10016595;Дегенерация оливопонтоцеребеллярная наследственная;G23.3;16607
10016596;Дегенерация оливо-понто-церебеллярная наследственная;G23.8;16608
10016597;Дегенерация оливопонтоцеребеллярная семейная;G23.3;16609
10016598;Дегенерация оливо-понто-церебеллярная семейная;G23.8;16610
10016599;Дегенерация паллидарная пигментная;G23.0;16611
10016600;Дегенерация паллидарная пигментная прогрессирующая;G23.0;16612
10016601;Дегенерация переднего рога спинного мозга;G12.2;16613
10016602;Дегенерация перепончатого лабиринта врожденная;Q16.5;16614
10016603;Дегенерация перепончатого лабиринта врожденная, вызывающая нарушение слуха;Q16.5;16615
10016604;Дегенерация печени;K76.8;16616
10016605;Дегенерация печени амилоидная;E85.4;16617
10016606;Дегенерация печени гипертрофическая;K76.8;16618
10016607;Дегенерация печени диффузная;K76.8;16619
10016608;Дегенерация печени жировая;K76.0;16620
10016609;Дегенерация печени жировая алкогольная;K70.0;16621
10016610;Дегенерация печени кистозная;K76.8;16622
10016611;Дегенерация печени кистозная врожденная;Q44.6;16623
10016612;Дегенерация печени паренхиматозная острая;K72.0;16624
10016613;Дегенерация печени паренхиматозная подострая;K72.0;16625
10016614;Дегенерация печени пигментная;K76.8;16626
10016615;Дегенерация печени токсическая;K71.9;16627
10016616;Дегенерация печени токсическая острая;K71.9;16628
10016617;Дегенерация пигментная паллидарная;G23.0;16629
10016618;Дегенерация пигментная паллидарная прогрессирующая;G23.0;16630
10016619;Дегенерация плаценты;O43.8;16631
10016620;Дегенерация поджелудочной железы;K86.8;16632
10016621;Дегенерация поджелудочной железы туберкулезная;A18.8;16633
