�;M86.8;9825
10010094;Буйо синдром;I01.8;10101
10010095;Булавовидный ноготь;R68.3;10102
10010096;Булавовидный ноготь врожденный;Q84.6;10103
10010097;Булавовидный ноготь пальца;R68.3;10104
10010098;Булавовидный ноготь пальца при пахидермопериостозе;M89.4;10105
10010099;Булавовидный ноготь пальцев;R68.3;10106
10010100;Булимия;F50.2;10107
10010101;Булимия атипичная;F50.3;10108
10010102;Булимия нервозная;F50.2;10109
10010103;Булимия при нормальном весе;F50.3;10110
10010104;Буллезная эмфизема легкого;J43.9;10111
10010105;Буллезная эмфизема легкого новорожденного;P25.8;10112
10010106;Буллезная эмфизема легкого плода;P25.8;10113
10010107;Бумажный плод;P95;10114
10010108;Бумажный плод осложняющий беременность;O31.0;10115
10010109;Бурневилля болезнь;Q85.1;10116
10010110;Бурсит;M71.9;10117
10010111;Бурсит адгезивный;M71.5;10118
10010112;Бурсит ахиллова сухожилия;M76.6;10119
10010113;Бурсит бедра;M70.7;10120
10010114;Бурсит большеберцовый коллатеральный;M76.4;10121
10010115;Бурсит большого пальца;M20.1;10122
10010116;Бурсит вертлужной области;M70.6;10123
10010117;Бурсит глоточный;J39.1;10124
10010118;Бурсит голеностопного сустава;M76.8;10125
10010119;Бурсит гонококковый;A54.4;10126
10010120;Бурсит Дюплея;M75.3;10127
10010121;Бурсит запястья;M70.1;10128
10010122;Бурсит инфекционный;M71.1;10129
10010123;Бурсит кисти;M70.1;10130
10010124;Бурсит коленного сустава;M70.5;10131
10010125;Бурсит локтевого отростка;M70.2;10132
10010126;Бурсит локтя;M70.3;10133
10010127;Бурсит лопаточно-плечевой;M75.5;10134
10010128;Бурсит лучеплечевой;M77.8;10135
10010129;Бурсит пальца ноги;M77.5;10136
10010130;Бурсит пальца руки;M70.8;10137
10010131;Бурсит плеча;M75.5;10138
10010132;Бурсит подагрический;M10.0;10139
10010133;Бурсит подклювовидный;M75.5;10140
10010134;Бурсит подколенный;M70.5;10141
10010135;Бурсит препателлярный;M70.4;10142
10010136;Бурсит профессиональный;M70.9;10143
10010137;Бурсит пяточный;M77.5;10144
10010138;Бурсит ревматоидный;M06.2;10145
10010139;Бурсит седалищный;M70.7;10146
10010140;Бурсит семимембранозной мышцы;M70.5;10147
10010141;Бурсит семимембранозной мышцы колена;M70.5;10148
10010142;Бурсит сифилитический;A52.7;10149
10010143;Бурсит стопы;M77.5;10150
10010144;Бурсит субакромиальный;M75.5;10151
10010145;Бурсит субдельтовидный;M75.5;10152
10010146;Бурсит Торнвальда;J39.2;10153
10010147;Бурсит уточненный;M71.8;10154
10010148;Бурсит, связанный с давлением;M70.9;10155
10010149;Бурсит, связанный с давлением уточненный;M70.8;10156
10010150;Бурсит, связанный с нагрузкой;M70.9;10157
10010151;Бурсит, связанный с нагрузкой уточненный;M70.8;10158
10010152;Бурсит, связанный с перегрузкой;M70.9;10159
10010153;Бурсит, связанный с перегрузкой уточненный;M70.8;10160
10010154;Бурсопатия;M71.9;10161
10010155;Бурсопатия уточненная;M71.8;10162
10010156;Бурульская язва;A31.1;10163
10010157;Бусовидные волосы;Q84.1;10164
10010158;Бусовидные волосы врожденные;Q84.1;10165
10010159;Буссе-Бушке болезнь;B45.3;10166
10010160;Бутоньеркообразная деформация;M20.0;10167
10010161;Бутоньеркообразная деформация пальца;M20.0;10168
10010162;Буфтальм;Q15.0;10169
10010163;Буфтальм врожденный;Q15.0;10170
10010164;Буфтальмия;Q15.0;10171
10010165;Буфтальмия врожденная;Q15.0;10172
10010166;Бушара узлы;M15.2;10173
10010167;Бушара узлы с артропатией;M15.2;10174
10010168;Бушке болезнь;B45.3;10175
10010169;Бушке склередема;M34.8;10176
10010170;Бьюкенена болезнь;M91.0;10177
10010171;Бьюкенена остеохондроз;M91.0;10178
10010172;Бьянки синдром;R48.8;10179
10010173;Бюргера болезнь;I73.1;10180
10010174;Бюргера-Грютца болезнь;E78.3;10181
10010175;Бюргера-Грютца синдром;E78.3;10182
10081546;В личном анамнезе COVID-19;U08.9;10183
10010176;Вагинизм;N94.2;10184
10010177;Вагинизм вторичный;N94.2;10185
10010178;Вагинизм неорганический;F52.5;10186
10010179;Вагинизм психогенный;F52.5;10187
10010180;Вагинизм рефлекторный;N94.2;10188
10010181;Вагинит;N76.0;10189
10010182;Вагинит адгезивный;Q52.4;10190
10010183;Вагинит атрофический постменопаузный;N95.2;10191
10010184;Вагинит бленнорейный;A54.0;10192
10010185;Вагинит бленнорейный гонококковый;A54.0;10193
10010186;Вагинит венерический;A64;10194
10010187;Вагинит гонококковый;A54.0;10195
10010188;Вагинит гонококковый с абсцедированием;A54.1;10196
10010189;Вагинит гонококковый с абсцедированием придаточных и периуретральных желез;A54.1;10197
10010190;Вагинит кандидозный;B37.3;10198
10010191;Вагинит микотический;B37.3;10199
10010192;Вагинит монилиазный;B37.3;10200
10010193;Вагинит острый;N76.0;10201
10010194;Вагинит подострый;N76.1;10202
10010195;Вагинит послеродовой;O86.1;10203
10010196;Вагинит постменопаузный атрофический;N95.2;10204
10010197;Вагинит сифилитический;A51.0;10205
10010198;Вагинит сифилитический поздний;A52.7;10206
10010199;Вагинит сифилитический ранний;A51.0;10207
10010200;Вагинит старческий;N95.2;10208
10010201;Вагинит старческий атрофический;N95.2;10209
10010202;Вагинит трихомонадный;A59.0;10210
10010203;Вагинит трихомонадный, вызванный Trichomonas;A59.0;10211
10010204;Вагинит трихомонадный, вызванный Trichomonas vaginalis;A59.0;10212
10010205;Вагинит туберкулезный;A18.1;10213
10010206;Вагинит хламидийный;A56.0;10214
10010207;Вагинит хронический;N76.1;10215
10010208;Вагинит, вызванный herpes simplex;A60.0;10216
10010209;Вагинит, вызванный герпетической инфекцией;A60.0;10217
10010210;Вагинит, вызванный кандидозом;B37.3;10218
10010211;Вагинит, вызванный энтеробиозной инвазией;B80;10219
10010212;Вагинит, вызванный энтеробиозной инфекцией;B80;10220
10010213;Вагинит, осложняющий аборт, последующий эпизод;O08.0;10221
10010214;Вагинит, осложняющий беременность;O23.5;10222
10010215;Вагинит, осложняющий беременность, влияние на новорожденного;P00.8;10223
10010216;Вагинит, осложняющий беременность, влияние на плод;P00.8;10224
10010217;Вагинит, осложняющий внематочную беременность;O08.0;10225
10010218;Вагинит, осложняющий молярную беременность;O08.0;10226
10010219;Ваготония;G52.2;10227
10010220;Вазит туберкулезный;A18.1;10228
10010221;Вазит узловатый;N49.1;10229
10010222;Вазовагальный пароксизмальный приступ;R55;10230
10010223;Вазовагальный приступ;R55;10231
10010224;Вазовагальный приступ психогенный;F45.3;10232
10010225;Вазодилятация;I73.9;10233
10010226;Вазопластика после ранее проведенной стерилизации;Z31.0;10234
10010227;Вазоспазм;I73.9;10235
10010228;Вазоспазм артерии сетчатки;H34.2;10236
10010229;Вазоспазм мозговой артерии;G45.9;10237
10010230;Вазоспазм периферический;I73.9;10238
10010231;Вакуум в добавочном синусе;J34.8;10239
10010232;Вакуум в носовом синусе;J34.8;10240
10010233;Вакуум в синусе;J34.8;10241
10010234;Вакуум, применение вакуум-экстракции при родоразрешении;O81.4;10242
10081587;Вакцина против COVID-19, вызвавшая неблагоприятную реакцию;U12.9;10243
10010235;Вакцинация не проведена;Z28.9;10244
10010236;Вакцинация не проведена из-за отказа пациента;Z28.2;10245
10010237;Вакцинация не проведена из-за отказа пациента по причине давления группы;Z28.1;10246
10010238;Вакцинация не проведена из-за отказа пациента по причине убеждения;Z28.1;10247
10010239;Вакцинация не проведена из-за противопоказания;Z28.0;10248
10010240;Вакцинация не проведена из-за уточненной причины;Z28.8;10249
10010241;Вакцинация не проведена по уточненной причине;Z28.8;10250
10010242;Вакцинация профилактическая;Z26.9;10251
10010243;Вакцинация профилактическая БЦЖ;Z23.2;10252
10010244;Вакцинация профилактическая КДС;Z27.1;10253
10010245;Вакцинация профилактическая КДС + полиомиелит;Z27.3;10254
10010246;Вакцинация профилактическая КДС + ТАВ;Z27.2;10255
10010247;Вакцинация профилактическая против бактериальной болезни;Z23.8;10256
10010248;Вакцинация профилактическая против бешенства;Z24.2;10257
10010249;Вакцинация профилактическая против болезни уточненной;Z26.8;10258
10010250;Вакцинация профилактическая против брюшного тифа-паратифа;Z23.1;10259
10010251;Вакцинация профилактическая против брюшного тифа-паратифа (ТАВ);Z23.1;10260
10010252;Вакцинация профилактическая против вирусного гепатита;Z24.6;10261
10010253;Вакцинация профилактическая против вирусной болезни;Z25.8;10262
10010254;Вакцинация профилактическая против гриппа;Z25.1;10263
10010255;Вакцинация профилактическая против дифтерии;Z23.6;10264
10010256;Вакцинация профилактическая против дифтерии-столбняка-коклюша;Z27.1;10265
10010257;Вакцинация профилактическая против дифтерии-столбняка-коклюша (КДС);Z27.1;10266
10010258;Вакцинация профилактическая против дифтерии-столбняка-коклюша с брюшным тифом-паратифом;Z27.2;10267
10010259;Вакцинация профилактическая против дифтерии-столбняка-коклюша с брюшным тифом-паратифом (КДС+ТАВ);Z27.2;10268
10010260;Вакцинация профилактическая против дифтерии-столбняка-коклюша с полиомиелитом;Z27.3;10269
10010261;Вакцинация профилактическая против дифтерии-столбняка-коклюша с полиомиелитом (КДС+полиомиелит);Z27.3;10270
10010262;Вакцинация профилактическая против желтой лихорадки;Z24.3;10271
10010263;Вакцинация профилактическая против коклюша;Z23.7;10272
10010264;Вакцинация профилактическая против комбинации болезней;Z27.9;10273
10010265;Вакцинация профилактическая против кори;Z24.4;10274
10010266;Вакцинация профилактическая против кори-эпидемического паротита-краснухи;Z27.4;10275
10010267;Вакцинация профилактическая против краснухи;Z24.5;10276
10010268;Вакцинация профилактическая против лейшманиоза;Z26.0;10277
10010269;Вакцинация профилактическая против одной болезни;Z26.9;10278
10010270;Вакцинация профилактическая против оспы;Z25.8;10279
10010271;Вакцинация профилактическая против острого респираторного заболевания;Z25.8;10280
10010272;Вакцинация профилактическая против передаваемого членистоногими вирусного энцефалита;Z24.1;10281
10010273;Вакцинация профилактическая против полиомиелита;Z24.0;10282
10010274;Вакцинация профилактическая против туберкулеза;Z23.2;10283
10010275;Вакцинация профилактическая против туберкулеза (БЦЖ);Z23.2;10284
10010276;Вакцинация профилактическая против туляремии;Z23.4;10285
10010277;Вакцинация профилактическая против уточненной комбинации болезней;Z27.8;10286
10010278;Вакцинация профилактическая против холеры;Z23.0;10287
10010279;Вакцинация профилактическая против холеры с брюшным тифом-паратифом;Z27.0;10288
10010280;Вакцинация профилактическая против холеры с брюшным тифом-паратифом (холера+ТАВ);Z27.0;10289
10010281;Вакцинация профилактическая против чумы;Z23.3;10290
10010282;Вакцинация профилактическая против энцефалита вирусного, передаваемого членистоногими;Z24.1;10291
10010283;Вакцинация профилактическая против эпидемического паротита;Z25.0;10292
10010284;Вакцинация профилактическая столбнячным анатоксином;Z23.5;10293
10010285;Вакцинация профилактическая ТАВ;Z23.1;10294
10010286;Вакцинация профилактическая только против брюшного тифа-паратифа;Z23.1;10295
10010287;Вакцинация профилактическая только против дифтерии;Z23.6;10296
10010288;Вакцинация профилактическая только против коклюша;Z23.7;10297
10010289;Вакцинация профилактическая только против кори;Z24.4;10298
10010290;Вакцинация профилактическая только против краснухи;Z24.5;10299
10010291;Вакцинация профилактическая только против холеры;Z23.0;10300
10010292;Вакцинация профилактическая только против эпидемического паротита;Z25.1;10301
10010293;Вакцинация профилактическая только столбнячным анатоксином;Z23.5;10302
10010294;Вакцинация профилактическая холера + ТАВ;Z27.0;10303
10010295;Вакциния;B08.0;10304
10010296;Вакциния врожденная;P35.8;10305
10010297;Вакциния врожденная ветряной оспой;P35.8;10306
10010298;Вакциния коровьей оспой;B08.0;10307
10010299;Вакциния коровьей оспой генерализованная;B08.0;10308
10010300;Вакциния коровьей оспой локализованная;B08.0;10309
10010301;Валлей долины лихорадка;B38.0;10310
10010302;Валлей лихорадка;B38.0;10311
10010303;Валленберга болезнь;I66.3;10312
10010304;Валленберга синдром;I66.3;10313
10010305;Вальвулит;I38;10314
10010306;Вальвулит ревматический;I09.1;10315
10010307;Вальвулит ревматический активный;I01.1;10316
10010308;Вальвулит ревматический активный аортальный;I01.1;10317
10010309;Вальвулит ревматический активный легочный;I01.1;10318
10010310;Вальвулит ревматический активный митральный;I01.1;10319
10010311;Вальвулит ревматический активный трехстворчатый;I01.1;10320
10010312;Вальвулит ревматический неактивный;I09.1;10321
