�ледствие рахита;E64.3;70100
10070225;Спазм профессиональный;F48.8;70296
10070226;Спазм прямой кишки;K59.4;70297
10070227;Спазм прямой кишки психогенный;F45.3;70298
10070228;Спазм психогенный;F45.8;70299
10070229;Спазм световой;G40.4;70300
10070230;Спазм сердца;I20.1;70301
10070231;Спазм сигмовидной кишки;K58.8;70302
10070232;Спазм сигмовидной кишки психогенный;F45.3;70303
10070233;Спазм сопряженный глазной;H51.8;70304
10070234;Спазм сосудистый;I73.9;70305
10070235;Спазм сфинктера ануса;K59.4;70306
10070236;Спазм сфинктера заднего прохода;K59.4;70307
10070237;Спазм сфинктера мочевого пузыря;N32.8;70308
10070238;Спазм сфинктера мочевого пузыря психогенный;F45.3;70309
10070239;Спазм сфинктера Одди;K83.4;70310
10070240;Спазм сфинктера прямой кишки;K59.4;70311
10070241;Спазм сфинктера уретры;N35.9;70312
10070242;Спазм торсионный;G24.1;70313
10070243;Спазм торсионный прогрессивный;G24.1;70314
10070244;Спазм тройничного нерва;G50.0;70315
10070245;Спазм уретры;N35.9;70316
10070246;Спазм фатерова сосочка;K83.4;70317
10070247;Спазм цилиарного тела;H52.5;70318
10070248;Спазм цилиарного тела аккомодационный;H52.5;70319
10070249;Спазм шейки матки, осложняющий роды;O62.4;70320
10070250;Спазм шейки матки, осложняющий роды, влияние на новорожденного;P03.6;70321
10070251;Спазм эпидемический диафрагмальный;B33.0;70322
10070252;Спазм эпидемический диафрагмальный преходящий;B33.0;70323
10070253;Спазм языка;K14.8;70324
10070254;Спайки абдоминальные;K66.0;70325
10070255;Спайки амниона с плодом;O41.8;70326
10070256;Спайки амниона с плодом, влияние на новорожденного;P02.8;70327
10070257;Спайки амниона с плодом, влияние на плод;P02.8;70328
10070258;Спайки больших половых губ врожденные;Q52.5;70329
10070259;Спайки брыжейки;K66.0;70330
10070260;Спайки брюшинные врожденные;Q43.3;70331
10070261;Спайки брюшинные послеродовые в области таза;N73.6;70332
10070262;Спайки брюшинные с кишечной непроходимостью;K56.5;70333
10070263;Спайки брюшинные с маткой;N73.6;70334
10070264;Спайки брюшинные с непроходимостью;K56.5;70335
10070265;Спайки брюшинные тазовые у женщин;N73.6;70336
10070266;Спайки брюшинные тазовые у женщин послепроцедурные;N99.4;70337
10070267;Спайки брюшины;K66.0;70338
10070268;Спайки брюшины врожденные;Q43.3;70339
10070269;Спайки брюшины послеродовые в области таза;N73.6;70340
10070270;Спайки брюшины с кишечной непроходимостью;K56.5;70341
10070271;Спайки брюшины с маткой;N73.6;70342
10070272;Спайки брюшины с непроходимостью;K56.5;70343
10070273;Спайки брюшины слипчивые;K66.0;70344
10070274;Спайки брюшины тазовые у женщин;N73.6;70345
10070275;Спайки брюшины тазовые у женщин послепроцедурные;N99.4;70346
10070276;Спайки брюшной полости;K66.0;70347
10070277;Спайки брюшной стенки;K66.0;70348
10070278;Спайки века;H02.5;70349
10070279;Спайки влагалища;N89.5;70350
10070280;Спайки влагалищной оболочки яичка;N50.8;70351
10070281;Спайки врожденные брюшинные;Q43.3;70352
10070282;Спайки врожденные пальцев ноги;Q70.2;70353
10070283;Спайки врожденные пальцев руки;Q70.0;70354
10070284;Спайки врожденные сальника;Q43.3;70355
10070285;Спайки врожденные сальника патологические;Q43.3;70356
10070286;Спайки врожденные сердца;Q24.8;70357
10070287;Спайки врожденные сердца желудочковые;Q24.8;70358
10070288;Спайки врожденные сердца предсердные;Q24.8;70359
10070289;Спайки врожденные языка;Q38.3;70360
10070290;Спайки врожденные языка с десной;Q38.3;70361
10070291;Спайки врожденные языка с небом;Q38.3;70362
10070292;Спайки вульвы;N90.8;70363
10070293;Спайки глазного яблока;H44.8;70364
10070294;Спайки глазной мышцы;H50.6;70365
10070295;Спайки двенадцатиперстной кишки;K66.0;70366
10070296;Спайки диафрагмы;K66.0;70367
10070297;Спайки желудка;K66.0;70368
10070298;Спайки желчного протока;K83.8;70369
10070299;Спайки желчного пузыря;K82.8;70370
10070300;Спайки изгиба сигмовидной кишки;K66.0;70371
10070301;Спайки илеоцекальной петли;K66.0;70372
10070302;Спайки кишечника;K66.0;70373
10070303;Спайки кишечника с непроходимостью;K56.5;70374
10070304;Спайки кишечника слипчивые;K66.0;70375
10070305;Спайки клитора;N90.8;70376
10070306;Спайки конъюнктивы;H11.2;70377
10070307;Спайки конъюнктивы врожденные;Q15.8;70378
10070308;Спайки конъюнктивы приобретенные;H11.2;70379
10070309;Спайки крайней плоти;N47;70380
10070310;Спайки легочные;J98.4;70381
10070311;Спайки малых половых губ врожденные;Q52.5;70382
